,Method,Time,Log(abs[Time]),-Log(abs[Time])
0,Laminar,8.550600000006625e-06,-5.068003409535055,5.068003409535055
1,Laminar,8.550600000006625e-06,-5.068003409535055,5.068003409535055
2,Clamond,3.124970000001781e-05,-4.505154147566697,4.505154147566697
3,Brkic,1.172200000041812e-06,-5.9309982829389085,5.9309982829389085
4,JainSwamee,3.786940000009054e-05,-4.421711575753589,4.421711575753589
5,Serghides1,3.3010000004196627e-07,-6.481354475614475,6.481354475614475
6,Serghides2,5.0849500000140324e-05,-4.293713313109921,4.293713313109921
7,Dobromyslov,8.451999999579129e-07,-6.07304051164135,6.07304051164135
8,GoudarSonnad1,7.161999999425461e-07,-6.144965683358955,6.144965683358955
9,GoudarSonnad2,2.8630000019802536e-07,-6.543178651678012,6.543178651678012
10,Blasius,-2.776000001176726e-07,-6.556580538033089,6.556580538033089
11,Haaland,6.127999999989697e-07,-6.212681243376183,6.212681243376183
12,Buzzelli,8.43400000121619e-07,-6.07396640325853,6.07396640325853
13,MRR,2.2445999998126355e-06,-5.648861041454404,5.648861041454404
14,Moody,1.2464000001273235e-06,-5.904342559627146,5.904342559627146
15,Vatankhan,-1.0834999998223794e-06,-5.965171084415358,5.965171084415358
16,EPT,3.072689999953582e-05,-4.512481252988242,4.512481252988242
17,RaoKumar,-2.976999999191321e-07,-6.526221165471248,6.526221165471248
18,Mandilli,2.9198900000210416e-05,-4.534633509265183,4.534633509265183
19,Nikuradse,7.024000001365494e-07,-6.153415497017526,6.153415497017526
20,ZigrangSylvester1,1.7500000012660167e-07,-6.7569619509995205,6.7569619509995205
21,ZigrangSylvester2,4.195400000025984e-05,-4.377226626129098,4.377226626129098
